_Id,_Name,_Tolddescribe,_Description,_Add,_Zipcode,_Zone,_Tel,_Opentime,_Parkinginfo,_Website,_Picture1,_Picdescribe1,_Picture2,_Picdescribe2,_Picture3,_Picdescribe3,_Px,_Py,_Class,_Map,_Changetime
C3_376600000A_000001,Yue Tao Story House (Hua Shi Industrial Co. Ltd. No. 2 Factory),"Collecting the original Hong Kong peach seeds using supercritical extraction of active natural ingredients, anti-oxidation, anti-free radicals, can clean the skin, and strengthen the protection against the environment.","Collecting the original Hong Kong peach seeds using supercritical extraction of active natural ingredients, anti-oxidation, anti-free radicals, can clean the skin, and strengthen the protection against the environment.",No. 359 Zhongzhong 1st Street East District Chiayi City,60079,,886-5-2766399,Monday ~ Sunday 08:30–17:00,ChiayiTravel,https://www.sgsh.com.tw/,https://travel.chiayi.gov.tw/upload/delicacies/2c77d2472cfdb3b617e1485fc96db8c6.jpg,月桃故事館(華實興業股份有限公司二廠),,,,,120.4484736,23.5125516,1,,2018/12/21 09:07
C3_376600000A_000002,Delin International Business Co. Ltd.,"Injecting Fendo essence into the necklace of the life tree and introducing it into the healing of nature, it is carried on the chest to make people feel energetic and comfortable, just like walking in the forest of the elm.","Injecting Fendo essence into the necklace of the life tree and introducing it into the healing of nature, it is carried on the chest to make people feel energetic and comfortable, just like walking in the forest of the elm.","909-3, Wenhua Road, West District, Chiayi City",60082,,886-5-2322441,no,ChiayiTravel,http://www.quanhinoki.com.tw,https://travel.chiayi.gov.tw/upload/delicacies/717fe6cbd0eb91c0821678bdba793434.jpg,德霖國際事業有限公司,,,,,120.4391603,23.502252,1,,2018/12/21 22:24
C3_376600000A_000003,Apple Manor Ltd.,"A real heart, quality adheres to health, on the ground, high quality, teasing the stomach's good food, bite sweet and full of spicy and juicy, reminiscent of healthy snacks.","A real heart, quality adheres to health, on the ground, high quality, teasing the stomach's good food, bite sweet and full of spicy and juicy, reminiscent of healthy snacks.","6/F, No. 465, Lanjing Street, Chiayi City",60043,,886-5-2228101,Monday ~ Sunday 09:00–18:00,ChiayiTravel,,https://travel.chiayi.gov.tw/upload/delicacies/0277a216795469dc835175e039f5e2f6.jpg,蘋果莊園有限公司,,,,,120.4416933,23.476689,1,,2018/12/21 17:02
C3_376600000A_000004,"Jiaguanxi Food Co., Ltd.","From the insistence of Japanese-style pancakes, we trace the tradition to absorb the ancient taste, and innovate the development of branded banknote pancakes, so that the gifts are distinctive and taste more delicious~","From the insistence of Japanese-style pancakes, we trace the tradition to absorb the ancient taste, and innovate the development of branded banknote pancakes, so that the gifts are distinctive and taste more delicious~","263-1, Huzi Nei Road, West District, Chiayi City",60053,,886-5-2866087,Monday to Saturday 08:00–18:00 Sunday public holiday,ChiayiTravel,http://jkcfood.u98.com.tw/,https://travel.chiayi.gov.tw/upload/delicacies/1ea755607ce5d54a534920e759fb4e06.jpg,嘉冠喜食品有限公司,,,,,120.4415822,23.4502836,1,,2018/12/21 21:45
C3_376600000A_000005,Master Dragon Gold Kimchi Workshop,"Fermented with the most healthy and natural, let each mouth be filled with the most realistic touch, containing the blood and sweat of the planter, and the comfort and satisfaction of the body and mind between the cheeks.","Fermented with the most healthy and natural, let each mouth be filled with the most realistic touch, containing the blood and sweat of the planter, and the comfort and satisfaction of the body and mind between the cheeks.","1st Floor, No. 28, Lane 195, Ren'ai Road, West District, Chiayi City",60055,,886-5-2863101,Monday to Sunday 09:00-18:00,ChiayiTravel,http://www.qrshop.com.tw/kimchi,https://travel.chiayi.gov.tw/upload/delicacies/0e050710d59f9b3f3309a8c022425917.jpg,龍師父黃金泡菜坊,,,,,120.4423702,23.4706083,1,,2018/12/21 18:36
C3_376600000A_000006,Cai Jia hand made Q buns (Hongyang Foods),"The stone monkey art is the characteristic culture of Chiayi City. It welcomes the Year of the Monkey and combines traditional snacks to blend out the unique creative cuisine of Chiayi, making the steamed buns more delicious.","The stone monkey art is the characteristic culture of Chiayi City. It welcomes the Year of the Monkey and combines traditional snacks to blend out the unique creative cuisine of Chiayi, making the steamed buns more delicious.","No. 15, Wufeng South Road, Chiayi City",60063,,886-5-2223061,Monday to Saturday 08:00–18:00 Sunday public holiday,ChiayiTravel,,https://travel.chiayi.gov.tw/upload/delicacies/c677e54191a728c13db095e2c6d7556e.jpg,蔡家手作Q包子(鴻洋食品行),,,,,120.4540686,23.4735693,1,,2018/12/21 17:30
C3_376600000A_000007,"New Taiwan Cake Shop Co., Ltd.","In the continuation of the Japanese rule, the traditional method of refining the alpaca in the Japanese house, the sweet and moderate surface is crystal clear, showing elegant and noble temperament, representing the nostalgia for Alishan.","In the continuation of the Japanese rule, the traditional method of refining the alpaca in the Japanese house, the sweet and moderate surface is crystal clear, showing elegant and noble temperament, representing the nostalgia for Alishan.","No. 294, Zhongshan Road, West District, Chiayi City",60041,,886-5-2222154,"Sunday ~ Thursday 08:30–21:30 Friday, Saturday 08:30–22:00",ChiayiTravel,http://www.newtaiwan-bakery.com.tw/,https://travel.chiayi.gov.tw/upload/delicacies/e10599a9b58a51be72d724faf1ff9fc1.jpg,新台灣餅舖有限公司,,,,,120.4492894,23.4798907,1,,2018/12/21 20:57
C3_376600000A_000008,"Qinyi Egg Technology Co., Ltd.","We choose to raise the pastures under the Ali Mountain and insist on raising the old hens for more than 18 months. The dripping process does not add a drop of water and Chinese medicine to taste, but the quality is pure.","We choose to raise the pastures under the Ali Mountain and insist on raising the old hens for more than 18 months. The dripping process does not add a drop of water and Chinese medicine to taste, but the quality is pure.","No. 37, Xinmin Road, West District, Chiayi City",60061,,886-5-2354516,Monday to Sunday 08:30–17:00 (announced on the closed day),ChiayiTravel,http://tw.chinyieggs.com/,https://travel.chiayi.gov.tw/upload/delicacies/3adc83dd1ba94c0249d6f791753ee6da.jpg,勤億蛋品科技股份有限公司,,,,,120.4311582,23.452216,1,,2018/12/21 20:56
C3_376600000A_000009,Beautiful Orange Guest Fresh Fruit Yogurt Store,"When the delicious Yogurt meets fresh fruit, the colorful taste is quietly unfolding in Chiayi. The fresh combination of hand-made and non-added pigments is the insistence of the owner, Ke Boren, on family and consumers. When I was transferred to middle age, I was originally engaged in work that was completely unrelated to the food industry. I started this sweet and sour opportunity with my heart and mind for my favorite wife and family. With the wife's own desire to eat fruit, Ke Boren specially found relatives of fruit, first started from the juice shop, combined with fresh ingredients, using the most natural and simple methods, no spices, pigments, artificial seasoning, gradually The company has developed healthy and delicious jams and dried fruits. Later, it developed a fresh fruit yoghurt. With colorful colors, fresh flavors and fruity layers, it is cleverly stacked to create the dreams of Yogurt! At first, the Chiayi people were not able to accept the taste of Yogurt, and the owner of Ke had to go door-to-door and personally visit the various campuses and company lines of Chiayi to promote their own products with free trials, and also from the feedback of the guests. I figured out how to adjust the formula, developed a sour taste, and friends of all sizes would love the yoghurt taste, and gradually opened up the popularity. At the beginning, it was only the supporting role of the store, and now it has become the main character! Handmade Yogurt meets SGS inspection certification, new","When the delicious Yogurt meets fresh fruit, the colorful taste is quietly unfolding in Chiayi. The fresh combination of hand-made and non-added pigments is the insistence of the owner, Ke Boren, on family and consumers. When I was transferred to middle age, I was originally engaged in work that was completely unrelated to the food industry. I started this sweet and sour opportunity with my heart and mind for my favorite wife and family. With the wife's own desire to eat fruit, Ke Boren specially found relatives of fruit, first started from the juice shop, combined with fresh ingredients, using the most natural and simple methods, no spices, pigments, artificial seasoning, gradually The company has developed healthy and delicious jams and dried fruits. Later, it developed a fresh fruit yoghurt. With colorful colors, fresh flavors and fruity layers, it is cleverly stacked to create the dreams of Yogurt! At first, the Chiayi people were not able to accept the taste of Yogurt, and the owner of Ke had to go door-to-door and personally visit the various campuses and company lines of Chiayi to promote their own products with free trials, and also from the feedback of the guests. I figured out how to adjust the formula, developed a sour taste, and friends of all sizes would love the yoghurt taste, and gradually opened up the popularity. At the beginning, it was only the supporting role of the store, and now it has become the main character! Handmade Yogurt meets SGS inspection certification, new","927 Yijiao Street, East District, Chiayi City",60073,,886-5-2750019,Monday ~ Saturday 09:00–20:00 Sunday public holiday,ChiayiTravel,,https://travel.chiayi.gov.tw/upload/delicacies/5f3b05428817b84aa94d20da2a18c484.JPG,渼橘客新鮮果優格專賣店,,,,,120.452173,23.500289,1,,2018/12/21 15:26
C3_376600000A_000010,Shangdao Coffee,"Because of a chance, Shangdao Coffee was born in 1979. At Shangdao Coffee, you can listen to the history of the evolution of Taiwanese beverage business, and you can taste the freshly baked coffee items and share the time of change. This is the classic of Chiayi and the continuous improvement. Boss Wu Yizheng recalled that he entered the roasting coffee business more than 30 years ago. At that time, few people really understood the art of coffee. Because of their love and vision, they have gone through the age of bubble black tea, but also because of the coffee that was accumulated in the past. The strength of raw materials in beverages, grasping this opportunity to innovate and transform, has created a coffee drink, food and beverage department store today. When I talked about it, I believe that many of the stories of Chiayi people happened here. Through a cup of coffee, I have accompanied many Chiayi people's memories. After more than 30 years of skill training, it can be said that it is a coffee roasting person in Chiayi. The coffee beans on the shelf must be freshly baked within 7 days. The selected raw materials and brewing utensils are all checked. It is not just coffee. It is a space for sharing coffee and tasting coffee, and picking up a spacious and bright store, so that people who have come here will talk about joy and sip their true feelings. &nbsp;In recent years, leading the local coffee culture trend, providing a variety of teaching courses, hope","Because of a chance, Shangdao Coffee was born in 1979. At Shangdao Coffee, you can listen to the history of the evolution of Taiwanese beverage business, and you can taste the freshly baked coffee items and share the time of change. This is the classic of Chiayi and the continuous improvement. Boss Wu Yizheng recalled that he entered the roasting coffee business more than 30 years ago. At that time, few people really understood the art of coffee. Because of their love and vision, they have gone through the age of bubble black tea, but also because of the coffee that was accumulated in the past. The strength of raw materials in beverages, grasping this opportunity to innovate and transform, has created a coffee drink, food and beverage department store today. When I talked about it, I believe that many of the stories of Chiayi people happened here. Through a cup of coffee, I have accompanied many Chiayi people's memories. After more than 30 years of skill training, it can be said that it is a coffee roasting person in Chiayi. The coffee beans on the shelf must be freshly baked within 7 days. The selected raw materials and brewing utensils are all checked. It is not just coffee. It is a space for sharing coffee and tasting coffee, and picking up a spacious and bright store, so that people who have come here will talk about joy and sip their true feelings. &nbsp;In recent years, leading the local coffee culture trend, providing a variety of teaching courses, hope","No. 156, Xingye East Road, East District, Chiayi City",60057,,886-5-2259248,Monday ~ Sunday 09:00–21:00,ChiayiTravel,,https://travel.chiayi.gov.tw/upload/delicacies/3fc268c4ab17b073d3b498944ba67350.JPG,上島咖啡,,,,,120.4578791,23.4694664,1,,2018/12/21 12:32
