_Id,_Name,_Tolddescribe,_Description,_Add,_Zipcode,_Zone,_Tel,_Opentime,_Parkinginfo,_Website,_Picture1,_Picdescribe1,_Picture2,_Picdescribe2,_Picture3,_Picdescribe3,_Px,_Py,_Class,_Map,_Changetime
C3_376600000A_000001,月桃故事館(華實興業股份有限公司二廠),收集原鄉月桃籽運用超臨界萃取出活性天然成份，具抗氧化、抗自由基，能清潔肌膚，更加強抗環境的保護力。,收集原鄉月桃籽運用超臨界萃取出活性天然成份，具抗氧化、抗自由基，能清潔肌膚，更加強抗環境的保護力。,嘉義市東區保忠一街359號,60079,,886-5-2766399,週一 ~ 週日   08:30–17:00,ChiayiTravel,https://www.sgsh.com.tw/,https://travel.chiayi.gov.tw/upload/delicacies/2c77d2472cfdb3b617e1485fc96db8c6.jpg,月桃故事館(華實興業股份有限公司二廠),,,,,120.4484736,23.5125516,1,,2018/12/21 09:07:17
C3_376600000A_000002,德霖國際事業有限公司,將芬多精注入生命樹項鍊中，導入大自然療癒，載在胸前散發出讓人活力舒暢，宛如漫步在檜木森林中。,將芬多精注入生命樹項鍊中，導入大自然療癒，載在胸前散發出讓人活力舒暢，宛如漫步在檜木森林中。,嘉義市西區文化路909-3號,60082,,886-5-2322441,無,ChiayiTravel,http://www.quanhinoki.com.tw,https://travel.chiayi.gov.tw/upload/delicacies/717fe6cbd0eb91c0821678bdba793434.jpg,德霖國際事業有限公司,,,,,120.43916030000003,23.502252,1,,2018/12/21 22:24:22
C3_376600000A_000003,蘋果莊園有限公司,一顆實在的心，品質堅持健康、在地、高品質，挑逗胃的良食，一口咬下甘甜飽滿香辣多汁，令人回味健康零嘴。,一顆實在的心，品質堅持健康、在地、高品質，挑逗胃的良食，一口咬下甘甜飽滿香辣多汁，令人回味健康零嘴。,嘉義市蘭井街465號6樓3,60043,,886-5-2228101,週一 ~ 週日   09:00–18:00,ChiayiTravel,,https://travel.chiayi.gov.tw/upload/delicacies/0277a216795469dc835175e039f5e2f6.jpg,蘋果莊園有限公司,,,,,120.4416933,23.476689,1,,2018/12/21 17:02:10
C3_376600000A_000004,嘉冠喜食品有限公司,源自日式煎餅的堅持，追溯傳統吸取古早味，創新開發烙印式鈔票煎餅，讓送禮有特色，吃得更有味道～,源自日式煎餅的堅持，追溯傳統吸取古早味，創新開發烙印式鈔票煎餅，讓送禮有特色，吃得更有味道～,嘉義市西區湖子內路263-1號,60053,,886-5-2866087,週一 ~ 週六   08:00–18:00 週日公休,ChiayiTravel,http://jkcfood.u98.com.tw/,https://travel.chiayi.gov.tw/upload/delicacies/1ea755607ce5d54a534920e759fb4e06.jpg,嘉冠喜食品有限公司,,,,,120.4415822,23.4502836,1,,2018/12/21 21:45:34
C3_376600000A_000005,龍師父黃金泡菜坊,用最健康自然熟成發酵， 讓每一口充滿最真實感動，蘊含栽種者心血與汗水，在齒頰間得到身心靈的舒坦與滿足。,用最健康自然熟成發酵， 讓每一口充滿最真實感動，蘊含栽種者心血與汗水，在齒頰間得到身心靈的舒坦與滿足。,嘉義市西區仁愛路195巷28號1樓,60055,,886-5-2863101,週一～週日   09:00－18:00,ChiayiTravel,http://www.qrshop.com.tw/kimchi,https://travel.chiayi.gov.tw/upload/delicacies/0e050710d59f9b3f3309a8c022425917.jpg,龍師父黃金泡菜坊,,,,,120.44237020000003,23.4706083,1,,2018/12/21 18:36:17
C3_376600000A_000006,蔡家手作Q包子(鴻洋食品行),石猴藝術是嘉義市特色文化，迎接猴年到，結合傳統點心，融會出嘉義特有創意美食，讓包子饅頭更具食尚力。,石猴藝術是嘉義市特色文化，迎接猴年到，結合傳統點心，融會出嘉義特有創意美食，讓包子饅頭更具食尚力。,嘉義市吳鳳南路15號,60063,,886-5-2223061,週一 ~ 週六   08:00–18:00 週日公休,ChiayiTravel,,https://travel.chiayi.gov.tw/upload/delicacies/c677e54191a728c13db095e2c6d7556e.jpg,蔡家手作Q包子(鴻洋食品行),,,,,120.45406860000003,23.4735693,1,,2018/12/21 17:30:59
C3_376600000A_000007,新台灣餅舖有限公司,延續日治時期日向屋採傳統工法煉製羊羹，甜味適中表面晶瑩明亮，呈現典雅高貴的氣質，代表對阿里山的懷舊。,延續日治時期日向屋採傳統工法煉製羊羹，甜味適中表面晶瑩明亮，呈現典雅高貴的氣質，代表對阿里山的懷舊。,嘉義市西區中山路294號,60041,,886-5-2222154,週日 ~ 週四   08:30–21:30 週五、六   08:30–22:00,ChiayiTravel,http://www.newtaiwan-bakery.com.tw/,https://travel.chiayi.gov.tw/upload/delicacies/e10599a9b58a51be72d724faf1ff9fc1.jpg,新台灣餅舖有限公司,,,,,120.4492894,23.4798907,1,,2018/12/21 20:57:48
C3_376600000A_000008,勤億蛋品科技股份有限公司,選用阿里山下飼養牧場，堅持飼養滿18個月以上老母雞，滴煉過程不加一滴水和中藥調味，惟有單純才能好品質。,選用阿里山下飼養牧場，堅持飼養滿18個月以上老母雞，滴煉過程不加一滴水和中藥調味，惟有單純才能好品質。,嘉義市西區新民路37號,60061,,886-5-2354516,週一 ~ 週日   08:30–17:00 (休館日另行公告),ChiayiTravel,http://tw.chinyieggs.com/,https://travel.chiayi.gov.tw/upload/delicacies/3adc83dd1ba94c0249d6f791753ee6da.jpg,勤億蛋品科技股份有限公司,,,,,120.43115820000003,23.452216,1,,2018/12/21 20:56:18
C3_376600000A_000009,渼橘客新鮮果優格專賣店,當美味優格，遇見新鮮水果，繽紛美妙的滋味，悄悄在嘉義展開來。新鮮結合手作與無添加色素的水果優格，是老闆柯博仁對家人與消費者的堅持。當年歷經中年轉業，原本從事和食品業完全無關的工作，憑著做給最愛的太太和家人食用的心意，展開了這一段酸甜機緣。憑著太太本身愛吃水果的心意，柯博仁特別找來了種水果的親戚，先從果汁店開始發跡，結合在地新鮮食材、採用最天然簡單工法、不加香料、色素、人工調味，逐漸研發了果醬、果乾等健康美味，後來更研發出新鮮水果優格，以繽紛色彩、新鮮風味、果香層次，巧妙堆疊出優格的夢幻逸趣！一開始嘉義人還不太能接受優格酸酸的滋味，柯老闆只好挨家挨戶，親自拜訪嘉義各個校園、公司行號，以免費試吃來推廣自家產品，也從客人的反饋中，慢慢琢磨出如何調整配方，研發出讓酸味延後，大小朋友都會一吃愛上的優格口味，才逐漸打開知名度，當初還只是店中配角的優格，如今已躍升為主角了！手作優格符合SGS檢驗認證，新,當美味優格，遇見新鮮水果，繽紛美妙的滋味，悄悄在嘉義展開來。新鮮結合手作與無添加色素的水果優格，是老闆柯博仁對家人與消費者的堅持。當年歷經中年轉業，原本從事和食品業完全無關的工作，憑著做給最愛的太太和家人食用的心意，展開了這一段酸甜機緣。憑著太太本身愛吃水果的心意，柯博仁特別找來了種水果的親戚，先從果汁店開始發跡，結合在地新鮮食材、採用最天然簡單工法、不加香料、色素、人工調味，逐漸研發了果醬、果乾等健康美味，後來更研發出新鮮水果優格，以繽紛色彩、新鮮風味、果香層次，巧妙堆疊出優格的夢幻逸趣！一開始嘉義人還不太能接受優格酸酸的滋味，柯老闆只好挨家挨戶，親自拜訪嘉義各個校園、公司行號，以免費試吃來推廣自家產品，也從客人的反饋中，慢慢琢磨出如何調整配方，研發出讓酸味延後，大小朋友都會一吃愛上的優格口味，才逐漸打開知名度，當初還只是店中配角的優格，如今已躍升為主角了！手作優格符合SGS檢驗認證，新,嘉義市東區義教街927號,60073,,886-5-2750019,週一 ~ 週六   09:00–20:00 週日公休,ChiayiTravel,,https://travel.chiayi.gov.tw/upload/delicacies/5f3b05428817b84aa94d20da2a18c484.JPG,渼橘客新鮮果優格專賣店,,,,,120.452173,23.500289,1,,2018/12/21 15:26:30
C3_376600000A_000010,上島咖啡,因為一段機緣，上島咖啡在1979年懵懵懂懂地誕生了。在上島咖啡，你可以聆聽到台灣飲品事業的演進史，可以品嚐到新鮮烘焙的咖啡單品，與之共賞時代更迭，這是嘉義的經典，也是不斷進步的呈現。老闆吳一正回想30多年前踏入烘焙咖啡事業，當時真的很少人懂得咖啡這門藝術，因為自己喜愛和眼光而堅持，其中更歷經了泡沫紅茶盛行的年代，卻也因為當年累積的咖啡、飲品原物料實力，把握這個機會創新轉變，造就了咖啡飲品、餐飲通路百貨的今日。聊到這裡，相信許多嘉義人的故事，都在此發生，透過一杯咖啡，陪伴了多少嘉義人的美好回憶。經過了 30多年的功力歷練，可說是嘉義咖啡烘焙達人，堅持架上的咖啡豆一定是7日內新鮮烘焙的，所選的原物料、沖泡器具都一手把關，這裡賣的不只是咖啡，而是一個分享咖啡、品嚐咖啡的空間，挑高寬敞又明亮的賣場，讓來過這的人都相談盛歡、啜飲出真感情。&nbsp;近年來引領在地咖啡文化風潮，提供各式教學課程，希望,因為一段機緣，上島咖啡在1979年懵懵懂懂地誕生了。在上島咖啡，你可以聆聽到台灣飲品事業的演進史，可以品嚐到新鮮烘焙的咖啡單品，與之共賞時代更迭，這是嘉義的經典，也是不斷進步的呈現。老闆吳一正回想30多年前踏入烘焙咖啡事業，當時真的很少人懂得咖啡這門藝術，因為自己喜愛和眼光而堅持，其中更歷經了泡沫紅茶盛行的年代，卻也因為當年累積的咖啡、飲品原物料實力，把握這個機會創新轉變，造就了咖啡飲品、餐飲通路百貨的今日。聊到這裡，相信許多嘉義人的故事，都在此發生，透過一杯咖啡，陪伴了多少嘉義人的美好回憶。經過了 30多年的功力歷練，可說是嘉義咖啡烘焙達人，堅持架上的咖啡豆一定是7日內新鮮烘焙的，所選的原物料、沖泡器具都一手把關，這裡賣的不只是咖啡，而是一個分享咖啡、品嚐咖啡的空間，挑高寬敞又明亮的賣場，讓來過這的人都相談盛歡、啜飲出真感情。&nbsp;近年來引領在地咖啡文化風潮，提供各式教學課程，希望,嘉義市東區興業東路156號,60057,,886-5-2259248,週一 ~ 週日   09:00–21:00,ChiayiTravel,,https://travel.chiayi.gov.tw/upload/delicacies/3fc268c4ab17b073d3b498944ba67350.JPG,上島咖啡,,,,,120.45787910000001,23.4694664,1,,2018/12/21 12:32:20
